id,link,urun_adi,fiyat,yorum_puani,stok_durumu,yerel_gorsel_yolu,yorumlar,durum,tarama_tarihi
1,https://www.amazon.co.uk/dp/B0CP481DTZ,"Marvel Spidey and His Amazing Friends, Friends & Foes Pack, Action Figure Set",TRY300.74,4.7 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_1.jpg,"Bought these for my 3 year old son that is Spidey obsessed! This set definitely got his Spidey senses tingling. He has not put them down since he received them as a gift. The figures are a good size and they look and feel to be of good quality. The figures arms, legs and heads are articulated and seem very durable. The pack offers great value compared to buying the figures individually. Of note though is that the individual figures come with additional accessories. Regardless of the accessory situation, the pack is still a great set at a great price!
---
Larger figures than I thought...that's a good thing as far as my granddaughter was concerned. Great price for 5 figures and good quality for the market they're aimed at. Good detail and accurate likeness to the TV characters.
---
The Marvel Spidey and His Amazing Friends Friends & Foes Pack is an exciting action figure set perfect for young fans of the Spider-Man universe. Featuring popular characters from the series, this set encourages imaginative play and storytelling. The figures are well-crafted with vibrant colors and articulated joints, allowing for dynamic poses and interactive fun. Ideal for collectors and kids alike, this pack brings the thrill of superhero adventures to life. Overall, it’s a great addition to any Marvel or Spidey fan’s collection, combining quality and entertainment in one package.
---
Great toys. Perfect for little 1s to play with. Made very well. Good price.
---
These figures were a Christmas present for my two year old grandson, he loved them and because they are quite small they were just right for his little hands to carry around.",tamamlandi,2026-05-17 15:59:54
2,https://www.amazon.co.uk/dp/B0CFZG29WC,Marvel Legends Series Red Hulk Captain America: Brave New World 15-cm Action Figure,"TRY1,653.14",4.7 / 5,Only 2 left in stock.,urun_gorselleri\urun_2.jpg,"Like hulk but red, decent son loves it
---
Even though I didn't think much of the film it was based on, this figure is excellent.
---
Some small parts not easy to attatch
---
骨太な感じが素晴らしいですね。手の他のパーツのバリエーションが欲しかった。
---
Excelente artículo, lastima que el molde es un re color de la de el Hulk de Mark Ruffalo. Pero como artículo está muy bien.",tamamlandi,2026-05-17 15:59:54
3,https://www.amazon.co.uk/dp/B0DLH5XMRH,"Disney Store Official Buzz Lightyear Interactive Talking Action Figure, Pixar's Toy Story, 36cm/14”, Space Ranger Toy Featuring 15+ English Phrases, Interacts with Other Characters, Ages 3+","TRY2,733.36",4.5 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_3.jpg,"Great Character toy from Toy Story. My son wanted the Interactive Buzz lightyear so he can talk to the other Toy Story Toys like Woody , Alien, Jesse and Zurg. Makes a great gift for Buzz light year fans. Quite a big toy so suitable for older toddlers. Real Buzz Year voice and sounds from the movies.
---
Buzz is very cool and I am pleased with the quality and stuff! Well worth it for a birthday or Christmas (and more!)
---
We bought the Buzz lightyear. Pros: Brilliant toy, very sturdy great for little hands, all sound effects worked perfectly and my little boy had hours of fun with Buzz. Comes with spaceship box which only adds to the imaginative play. Cons: the button to release the helmet visor broke within minutes. So now the visor stays open all the time. My boy was a bit annoyed by this but quickly got over it when he realised that it doesn’t really affect play too much. Just a shame for something on an almost £40 to break so quickly.
---
Item received on time well packaged. The little one absolutely loves Rex he presses button and his woody will start conversing with it. Great if your child loves dinosaurs and toy story.
---
Great grandson loves it is quite big but good quality",tamamlandi,2026-05-17 15:59:54
4,https://www.amazon.co.uk/dp/B0FDWW35KD,"Marvel Avengers Titan Series Iron Man 29.2-cm (11.5 inch) Action Figure, Super Hero Figures & Toys for kids, Ages 4+, Red",This is the way to the Star Wars collectors corner,4.8 / 5,Stok detayı net değil,urun_gorselleri\urun_4.jpg,"An amazing toy, my little one didn't expect more, very satisfied.
---
Really good figure well made arrived quickly
---
Por fin tienen más articulaciones!!!
---
My grandson loved it!
---
Figurine de bonne qualité. Mon fils est ravi",tamamlandi,2026-05-17 15:59:54
5,https://www.amazon.co.uk/dp/B0DLH5JYBD,"Disney Store Official Sheriff Woody Interactive Talking Action Figure, Pixar's Toy Story, 39cm/15”, Pull string Cowboy Doll Featuring 15+ English Phrases, Interacts with Other Characters, Ages 3+",Fiyat bulunamadı,4.5 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_5.jpg,"Great Character toy from Toy Story. My son wanted the Interactive Buzz lightyear so he can talk to the other Toy Story Toys like Woody , Alien, Jesse and Zurg. Makes a great gift for Buzz light year fans. Quite a big toy so suitable for older toddlers. Real Buzz Year voice and sounds from the movies.
---
Buzz is very cool and I am pleased with the quality and stuff! Well worth it for a birthday or Christmas (and more!)
---
We bought the Buzz lightyear. Pros: Brilliant toy, very sturdy great for little hands, all sound effects worked perfectly and my little boy had hours of fun with Buzz. Comes with spaceship box which only adds to the imaginative play. Cons: the button to release the helmet visor broke within minutes. So now the visor stays open all the time. My boy was a bit annoyed by this but quickly got over it when he realised that it doesn’t really affect play too much. Just a shame for something on an almost £40 to break so quickly.
---
Item received on time well packaged. The little one absolutely loves Rex he presses button and his woody will start conversing with it. Great if your child loves dinosaurs and toy story.
---
Great grandson loves it is quite big but good quality",tamamlandi,2026-05-17 15:59:54
6,https://www.amazon.co.uk/dp/B0CCSRZD2G,"Marvel Studios Captain America Brave New World, Titan Hero Series Deluxe Red Hulk Action Figure","TRY1,653.14",4.6 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_6.jpg,"Our son loves this. Similar to the other 12inch range of Marvel toys, arms and legs move but don’t bend. Made from a hard plastic, seems sturdy and would be difficult for a child to break. No small pieces, perfect for a 2+ toddler discovering superheroes. Good price
---
Great quality, looks and feels very well made . One very happy grandson .
---
Just as it is in the picture. Good value for money. It’s big in size my toddler loved it! Great quality too.
---
These arrived in great condition packaged well... they were alot bigger than i expected which for the price was amazing. Very happy grandsons really pleased
---
Good quality my toddler loves it",tamamlandi,2026-05-17 15:59:54
7,https://www.amazon.co.uk/dp/B0CN9H4557,"MonsterVerse Godzilla x Kong: The New Empire, 6-Inch Shimo Action Figure Toy, Iconic Collectable Movie Character, Includes Realistic Frost Bite Blast Feature, Toy Suitable for Ages 4 Years+",Fiyat bulunamadı,4.7 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_7.jpg,"Very fun to play with
---
This Shimo 6-Inch Action Figure from Godzilla x Kong: The New Empire is an absolute winner. Although the box says 4+, my 3-year-old is completely obsessed and it’s been rugged enough to stand up to his very enthusiastic play sessions. The figure is iconic and highly detailed for a collectable toy. The standout feature is definitely the Realistic Frost Bite Blast - it’s simple enough for a preschooler to use and adds so much to the play experience. It’s solid, durable, and an instantly recognisable character from the movie. If you have a little monster fan in the house, this is a brilliant purchase!
---
Great toy for my grandson can go with the other bits
---
Nice quality figure and movable limbs to .happy with my purchase
---
I bought this for my grandson he loves it",tamamlandi,2026-05-17 15:59:54
8,https://www.amazon.co.uk/dp/B0CP9LJPNR,"Sonic 3 Movie Sonic Collector Toy Figure by Jakks Pacific, Stands 5” / 13 cm Tall, Highly Articulated for Boys/Girls, Officially Licensed 3 Movie, Suggested for Ages 3+","TRY1,051.66",4.6 / 5,Stok detayı net değil,urun_gorselleri\urun_8.jpg,"As a massive fan of Sonic the Hedgehog 3, I couldn’t resist adding this Tails figure to my collection, and it definitely didn’t disappoint! The figure stands at 5 inches tall, and the level of articulation is fantastic—perfect for posing in various action-packed positions. The attention to detail is impressive, especially considering it’s based on the Sonic 3 movie. Tails’ design is spot-on, capturing his iconic look from the film. Whether you’re a collector or a fan looking to add a bit of Sonic flair to your room, this figure is a great choice. It’s officially licensed, which is a huge plus, and it’s sturdy enough for both display and play. I’d highly recommend this for any Sonic enthusiast or as a gift for younger fans (recommended for ages 3 and up). Overall, this Tails figure is a must-have for any Sonic the Hedgehog fan!
---
Arm broke after a few play time.
---
Well made figure, reasonably priced and daughter was happy with it.. shall be added to her large collection of sonic themed figures and pops..
---
Perfect. No issues at all. Great quality product
---
Thank you for the quick delivery this was bought for my grandson, I'm impressed the arms move not just from the shoulders, but also from the elbow and wrists.",tamamlandi,2026-05-17 15:59:54
9,https://www.amazon.co.uk/dp/B0DLH3GNT2,"Disney Store Official Jessie Interactive Talking Action Figure, Pixar's Toy Story, 36cm/14”, Pull string Cowgirl Doll Featuring 15+ English Phrases, Interacts with Other Characters, Ages 3+",TRY648.86,4.5 / 5,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,urun_gorselleri\urun_9.jpg,"Great Character toy from Toy Story. My son wanted the Interactive Buzz lightyear so he can talk to the other Toy Story Toys like Woody , Alien, Jesse and Zurg. Makes a great gift for Buzz light year fans. Quite a big toy so suitable for older toddlers. Real Buzz Year voice and sounds from the movies.
---
Buzz is very cool and I am pleased with the quality and stuff! Well worth it for a birthday or Christmas (and more!)
---
We bought the Buzz lightyear. Pros: Brilliant toy, very sturdy great for little hands, all sound effects worked perfectly and my little boy had hours of fun with Buzz. Comes with spaceship box which only adds to the imaginative play. Cons: the button to release the helmet visor broke within minutes. So now the visor stays open all the time. My boy was a bit annoyed by this but quickly got over it when he realised that it doesn’t really affect play too much. Just a shame for something on an almost £40 to break so quickly.
---
Item received on time well packaged. The little one absolutely loves Rex he presses button and his woody will start conversing with it. Great if your child loves dinosaurs and toy story.
---
Great grandson loves it is quite big but good quality",tamamlandi,2026-05-17 15:59:54
10,https://www.amazon.co.uk/dp/B0CFZL2QR1,"avengers Marvel Titan Hero Series Blast Gear Deluxe Hulk Action Figure, 30-cm Toy, For Children Aged 4 and Up, Green",Fiyat bulunamadı,4.7 / 5,Stok detayı net değil,urun_gorselleri\urun_10.jpg,"The Avengers Marvel Titan Hero Series Hulk figure is a big hit with my child! At 30 cm, it’s the perfect size for small hands to hold and play with. The Blast Gear feature adds extra fun, making imaginative play even more exciting. The figure is sturdy and well-made, so it holds up to rough play. My little one enjoys recreating superhero battles and teaming him up with other Titan Hero figures. Overall, it’s a fun, interactive toy that any Marvel fan will love. My 3y old son love it .The hands legs and head are movable
---
Great value, tough and durable even when Hulk crashes through the bannisters and falls two storeys.
---
My kid has a set of these figures and he absolutely loves the hulk - just a big hulking robust figure - they got the proportions spot on!
---
Well made and sturdy,ideal for little ones.
---
If you’re looking for a gift that packs a punch without breaking the bank, the Avengers Marvel Titan Hero Series Blast Gear Deluxe figures are a staple for a reason. These are the heavy hitters of the toy aisle large, durable, and designed for actual play rather than sitting on a collector's shelf. They are large enough to feel substantial in a child’s hands and look impressive coming out of a gift box. Unlike the smaller 6-inch figures that can get lost under the couch, these have a real presence in a playroom. I bought this for my 3 year old and feels like it's quite safe for this age group and older ones. Great value for money rather than any cheaper products, flexible features and good material.",tamamlandi,2026-05-17 15:59:54
